code_x,country,displayAffiliation,displayName,displayNameEn,dob,draftYear,experience,firstInitial,firstName,firstNameEn,height,jerseyNo,lastName,lastNameEn,leagueId_x,playerId,position,schoolType,weight,abbr,city,cityEn,code_y,conference,displayAbbr,displayConference,division,id,isAllStarTeam,isLeagueTeam,leagueId_y,name,nameEn
demarre_carroll,美国,Missouri/United States,德玛雷 卡罗尔,DeMarre Carroll,522820800000,2009,8,德玛雷,德玛雷,DeMarre,2.03,9,卡罗尔,Carroll,00,201960,前锋,College,97.5 公斤,BKN,布鲁克林,Brooklyn,nets,Eastern,篮网,东部,大西洋分区,1610612751,False,True,00,篮网,Nets
vince_carter,美国,North Carolina/United States,文斯 卡特,Vince Carter,223102800000,1998,19,文斯,文斯,Vince,1.98,15,卡特,Carter,00,1713,后卫-前锋,College,99.8 公斤,SAC,萨克拉门托,Sacramento,kings,Western,国王,西部,太平洋分区,1610612758,False,True,00,国王,Kings
michael_carter-williams,美国,Syracuse/United States,迈克尔 卡特-威廉姆斯,Michael Carter-Williams,687067200000,2013,4,迈克尔,迈克尔,Michael,1.98,10,卡特-威廉姆斯,Carter-Williams,00,203487,后卫,College,86.2 公斤,CHA,夏洛特,Charlotte,hornets,Eastern,黄蜂,东部,东南分区,1610612766,False,True,00,黄蜂,Hornets
alex_caruso,美国,Texas A&M/United States,亚历克斯 卡鲁索,Alex Caruso,762411600000,2016,0,亚历克斯,亚历克斯,Alex,1.96,4,卡鲁索,Caruso,00,1627936,后卫,College,84.4 公斤,LAL,洛杉矶,Los Angeles,lakers,Western,湖人,西部,太平洋分区,1610612747,False,True,00,湖人,Lakers
omri_casspi,以色列,"Yavne, Israel/Israel",欧米 卡斯比,Omri Casspi,582955200000,2009,8,欧米,欧米,Omri,2.06,18,卡斯比,Casspi,00,201956,前锋,Country,102.1 公斤,GSW,金州,Golden State,warriors,Western,勇士,西部,太平洋分区,1610612744,False,True,00,勇士,Warriors
willie_cauley-stein,美国,Kentucky/United States,威利 考利-斯坦,Willie Cauley Stein,745646400000,2015,2,威利,威利,Willie,2.13,00,考利-斯坦,Cauley Stein,00,1626161,中锋,College,108.9 公斤,SAC,萨克拉门托,Sacramento,kings,Western,国王,西部,太平洋分区,1610612758,False,True,00,国王,Kings
tyler_cavanaugh,美国,George Washington/United States,泰勒 卡瓦诺,Tyler Cavanaugh,760770000000,2017,0,泰勒,泰勒,Tyler,2.06,34,卡瓦诺,Cavanaugh,00,1628463,前锋,College,108.0 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
mario_chalmers,美国,Kansas/United States,马里奥 查尔莫斯,Mario Chalmers,516859200000,2008,8,马里奥,马里奥,Mario,1.88,6,查尔莫斯,Chalmers,00,201596,后卫,College,86.2 公斤,MEM,孟菲斯,Memphis,grizzlies,Western,灰熊,西部,西南分区,1610612763,False,True,00,灰熊,Grizzlies
tyson_chandler,美国,Dominquez H.S/United States,泰森 钱德勒,Tyson Chandler,402379200000,2001,16,泰森,泰森,Tyson,2.16,4,钱德勒,Chandler,00,2199,中锋,High School,108.9 公斤,PHX,菲尼克斯,Phoenix,suns,Western,太阳,西部,太平洋分区,1610612756,False,True,00,太阳,Suns
wilson_chandler,美国,DePaul/United States,威尔森 钱德勒,Wilson Chandler,547617600000,2007,9,威尔森,威尔森,Wilson,2.06,21,钱德勒,Chandler,00,201163,前锋,College,102.1 公斤,DEN,丹佛,Denver,nuggets,Western,掘金,西部,西北分区,1610612743,False,True,00,掘金,Nuggets
marquese_chriss,美国,Washington/United States,马奎斯 克里斯,Marquese Chriss,867816000000,2016,1,马奎斯,马奎斯,Marquese,2.08,0,克里斯,Chriss,00,1627737,前锋,College,108.9 公斤,PHX,菲尼克斯,Phoenix,suns,Western,太阳,西部,太平洋分区,1610612756,False,True,00,太阳,Suns
ian_clark,美国,Belmont/United States,伊安 克拉克,Ian Clark,668322000000,2013,4,伊安,伊安,Ian,1.90,2,克拉克,Clark,00,203546,后卫,College,79.4 公斤,NOP,新奥尔良,New Orleans,pelicans,Western,鹈鹕,西部,西南分区,1610612740,False,True,00,鹈鹕,Pelicans
jordan_clarkson,美国,Missouri/United States,乔丹 克拉克森,Jordan Clarkson,707889600000,2014,3,乔丹,乔丹,Jordan,1.96,8,克拉克森,Clarkson,00,203903,后卫,College,88.0 公斤,CLE,克利夫兰,Cleveland,cavaliers,Eastern,骑士,东部,中央分区,1610612739,False,True,00,骑士,Cavaliers
gian_clavell,波多黎各,Colorado State/Puerto Rico,吉安 克拉维尔,Gian Clavell,754290000000,2017,0,吉安,吉安,Gian,1.93,8,克拉维尔,Clavell,00,1628492,后卫,College,83.9 公斤,DAL,达拉斯,Dallas,mavericks,Western,独行侠,西部,西南分区,1610612742,False,True,00,独行侠,Mavericks
antonius_cleveland,美国,Southeast Missouri State/United States,安东尼 Cleveland,Antonius Cleveland,760165200000,2017,0,安东尼,安东尼,Antonius,1.98,0,Cleveland,Cleveland,00,1628499,后卫,College,88.5 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
john_collins,美国,Wake Forest/United States,约翰 科林斯,John Collins,874987200000,2017,0,约翰,约翰,John,2.08,20,科林斯,Collins,00,1628381,前锋-中锋,College,106.6 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
zach_collins,美国,Gonzaga/United States,扎克 科林斯,Zach Collins,879915600000,2017,0,扎克,扎克,Zach,2.13,33,科林斯,Collins,00,1628380,中锋-前锋,College,104.3 公斤,POR,波特兰,Portland,blazers,Western,开拓者,西部,西北分区,1610612757,False,True,00,开拓者,Trail Blazers
kyle_collinsworth,美国,Brigham Young/United States,凯尔 柯林沃斯,Kyle Collinsworth,686462400000,2016,0,凯尔,凯尔,Kyle,1.98,8,柯林沃斯,Collinsworth,00,1627858,后卫,College,95.3 公斤,DAL,达拉斯,Dallas,mavericks,Western,独行侠,西部,西南分区,1610612742,False,True,00,独行侠,Mavericks
darren_collison,美国,UCLA/United States,达伦 科里森,Darren Collison,556689600000,2009,8,达伦,达伦,Darren,1.88,2,科里森,Collison,00,201954,后卫,College,83.9 公斤,IND,印第安纳,Indiana,pacers,Eastern,步行者,东部,中央分区,1610612754,False,True,00,步行者,Pacers
nick_collison,美国,Kansas/United States,尼克 科里森,Nick Collison,341380800000,2003,13,尼克,尼克,Nick,2.08,4,科里森,Collison,00,2555,前锋,College,115.7 公斤,OKC,俄克拉荷马城,Oklahoma City,thunder,Western,雷霆,西部,西北分区,1610612760,False,True,00,雷霆,Thunder
mike_conley,美国,Ohio State/United States,迈克 康利,Mike Conley,560923200000,2007,10,迈克,迈克,Mike,1.85,11,康利,Conley,00,201144,后卫,College,79.4 公斤,MEM,孟菲斯,Memphis,grizzlies,Western,灰熊,西部,西南分区,1610612763,False,True,00,灰熊,Grizzlies
pat_connaughton,美国,Notre Dame/United States,帕特 康诺顿,Pat Connaughton,726296400000,2015,2,帕特,帕特,Pat,1.96,5,康诺顿,Connaughton,00,1626192,后卫-前锋,College,95.3 公斤,POR,波特兰,Portland,blazers,Western,开拓者,西部,西北分区,1610612757,False,True,00,开拓者,Trail Blazers
quinn_cook,美国,Duke/United States,奎因 库克,Quinn Cook,732862800000,2015,1,奎因,奎因,Quinn,1.88,4,库克,Cook,00,1626188,后卫,College,81.2 公斤,GSW,金州,Golden State,warriors,Western,勇士,西部,太平洋分区,1610612744,False,True,00,勇士,Warriors
charles_cooke,美国,Dayton/United States,查尔斯 库克,Charles Cooke,773035200000,2017,0,查尔斯,查尔斯,Charles,1.96,4,库克,Cooke,00,1628429,后卫,College,88.9 公斤,NOP,新奥尔良,New Orleans,pelicans,Western,鹈鹕,西部,西南分区,1610612740,False,True,00,鹈鹕,Pelicans
jack_cooley,美国,Notre Dame/United States,杰克 库利,Jack Cooley,671428800000,2013,1,杰克,杰克,Jack,2.08,45,库利,Cooley,00,204022,中锋,College,124.3 公斤,SAC,萨克拉门托,Sacramento,kings,Western,国王,西部,太平洋分区,1610612758,False,True,00,国王,Kings
matt_costello,美国,Michigan State/United States,马特 科斯特洛,Matt Costello,744523200000,2016,0,马特,马特,Matt,2.08,10,科斯特洛,Costello,00,1627856,前锋-中锋,College,108.9 公斤,SAS,圣安东尼奥,San Antonio,spurs,Western,马刺,西部,西南分区,1610612759,False,True,00,马刺,Spurs
demarcus_cousins,美国,Kentucky/United States,德玛库斯 考辛斯,DeMarcus Cousins,650520000000,2010,7,德玛库斯,德玛库斯,DeMarcus,2.11,0,考辛斯,Cousins,00,202326,中锋,College,122.5 公斤,NOP,新奥尔良,New Orleans,pelicans,Western,鹈鹕,西部,西南分区,1610612740,False,True,00,鹈鹕,Pelicans
robert_covington,美国,Tennessee State/United States,罗伯特 考文顿,Robert Covington,661150800000,2013,4,罗伯特,罗伯特,Robert,2.06,33,考文顿,Covington,00,203496,前锋,College,102.1 公斤,PHI,费城,Philadelphia,sixers,Eastern,76人,东部,大西洋分区,1610612755,False,True,00,76人,Sixers
allen_crabbe,美国,California/United States,阿伦 克拉布,Allen Crabbe,702792000000,2013,4,阿伦,阿伦,Allen,1.98,33,克拉布,Crabbe,00,203459,后卫-前锋,College,97.5 公斤,BKN,布鲁克林,Brooklyn,nets,Eastern,篮网,东部,大西洋分区,1610612751,False,True,00,篮网,Nets
torrey_craig,美国,South Carolina Upstate/United States,托里 克雷格,Torrey Craig,661582800000,2014,0,托里,托里,Torrey,1.98,3,克雷格,Craig,00,1628470,后卫-前锋,College,97.5 公斤,DEN,丹佛,Denver,nuggets,Western,掘金,西部,西北分区,1610612743,False,True,00,掘金,Nuggets
jamal_crawford,美国,Michigan/United States,贾马尔 克劳福德,Jamal Crawford,322376400000,2000,17,贾马尔,贾马尔,Jamal,1.96,11,克劳福德,Crawford,00,2037,后卫,College,83.9 公斤,MIN,明尼苏达,Minnesota,timberwolves,Western,森林狼,西部,西北分区,1610612750,False,True,00,森林狼,Timberwolves
jordan_crawford,美国,Xavier/United States,乔丹 克劳福德,Jordan Crawford,593582400000,2010,5,乔丹,乔丹,Jordan,1.96,27,克劳福德,Crawford,00,202348,后卫,College,88.5 公斤,NOP,新奥尔良,New Orleans,pelicans,Western,鹈鹕,西部,西南分区,1610612740,False,True,00,鹈鹕,Pelicans
jae_crowder,美国,Marquette/United States,杰 克劳德,Jae Crowder,647236800000,2012,5,杰,杰,Jae,1.98,99,克劳德,Crowder,00,203109,前锋,College,106.6 公斤,UTA,犹他,Utah,jazz,Western,爵士,西部,西北分区,1610612762,False,True,00,爵士,Jazz
dante_cunningham,美国,Villanova/United States,丹特 康宁汉姆,Dante Cunningham,546062400000,2009,8,丹特,丹特,Dante,2.03,44,康宁汉姆,Cunningham,00,201967,前锋,College,104.3 公斤,BKN,布鲁克林,Brooklyn,nets,Eastern,篮网,东部,大西洋分区,1610612751,False,True,00,篮网,Nets
seth_curry,美国,Duke/United States,賽斯 库里,Seth Curry,651384000000,2013,4,賽斯,賽斯,Seth,1.88,30,库里,Curry,00,203552,后卫,College,83.9 公斤,DAL,达拉斯,Dallas,mavericks,Western,独行侠,西部,西南分区,1610612742,False,True,00,独行侠,Mavericks
stephen_curry,美国,Davidson/United States,斯蒂芬 库里,Stephen Curry,574318800000,2009,8,斯蒂芬,斯蒂芬,Stephen,1.90,30,库里,Curry,00,201939,后卫,College,86.2 公斤,GSW,金州,Golden State,warriors,Western,勇士,西部,太平洋分区,1610612744,False,True,00,勇士,Warriors
troy_daniels,美国,Virginia Commonwealth/United States,特洛伊 丹尼尔斯,Troy Daniels,679550400000,2013,4,特洛伊,特洛伊,Troy,1.93,30,丹尼尔斯,Daniels,00,203584,后卫,College,93.0 公斤,PHX,菲尼克斯,Phoenix,suns,Western,太阳,西部,太平洋分区,1610612756,False,True,00,太阳,Suns
anthony_davis,美国,Kentucky/United States,安东尼 戴维斯,Anthony Davis,731826000000,2012,5,安东尼,安东尼,Anthony,2.08,23,戴维斯,Davis,00,203076,前锋-中锋,College,114.8 公斤,NOP,新奥尔良,New Orleans,pelicans,Western,鹈鹕,西部,西南分区,1610612740,False,True,00,鹈鹕,Pelicans
deyonta_davis,美国,Michigan State/United States,德永塔 戴维斯,Deyonta Davis,849502800000,2016,1,德永塔,德永塔,Deyonta,2.11,21,戴维斯,Davis,00,1627738,中锋-前锋,College,107.5 公斤,MEM,孟菲斯,Memphis,grizzlies,Western,灰熊,西部,西南分区,1610612763,False,True,00,灰熊,Grizzlies
ed_davis,美国,North Carolina/United States,艾德 戴维斯,Ed Davis,613022400000,2010,7,艾德,艾德,Ed,2.08,17,戴维斯,Davis,00,202334,前锋-中锋,College,111.1 公斤,POR,波特兰,Portland,blazers,Western,开拓者,西部,西北分区,1610612757,False,True,00,开拓者,Trail Blazers
demar_derozan,美国,Southern California/United States,德玛尔 德罗赞,DeMar DeRozan,618465600000,2009,8,德玛尔,德玛尔,DeMar,2.01,10,德罗赞,DeRozan,00,201942,后卫,College,99.8 公斤,TOR,多伦多,Toronto,raptors,Eastern,猛龙,东部,大西洋分区,1610612761,False,True,00,猛龙,Raptors
dewayne_dedmon,美国,Southern California/United States,德维恩 戴德蒙,Dewayne Dedmon,618897600000,2013,4,德维恩,德维恩,Dewayne,2.13,14,戴德蒙,Dedmon,00,203473,中锋,College,111.1 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
sam_dekker,美国,Wisconsin/United States,萨姆 德克尔,Sam Dekker,768369600000,2015,2,萨姆,萨姆,Sam,2.06,7,德克尔,Dekker,00,1626155,前锋,College,104.3 公斤,LAC,洛杉矶,LA,clippers,Western,快船,西部,太平洋分区,1610612746,False,True,00,快船,Clippers
malcolm_delaney,美国,Virginia Tech/United States,马尔科姆 德莱尼,Malcolm Delaney,605595600000,2011,1,马尔科姆,马尔科姆,Malcolm,1.90,5,德莱尼,Delaney,00,1627098,后卫,College,86.2 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
matthew_dellavedova,澳洲,Saint Mary's (CA)/Australia,马修 德拉维多瓦,Matthew Dellavedova,652766400000,2013,4,马修,马修,Matthew,1.93,8,德拉维多瓦,Dellavedova,00,203521,后卫,College,89.8 公斤,MIL,密尔沃基,Milwaukee,bucks,Eastern,雄鹿,东部,中央分区,1610612749,False,True,00,雄鹿,Bucks
luol_deng,英国,Duke/United Kingdom,罗尔 邓,Luol Deng,482475600000,2004,13,罗尔,罗尔,Luol,2.06,9,邓,Deng,00,2736,前锋,College,99.8 公斤,LAL,洛杉矶,Los Angeles,lakers,Western,湖人,西部,太平洋分区,1610612747,False,True,00,湖人,Lakers
cheick_diallo,马里,Kansas/Mali,谢赫 迪亚洛,Cheick Diallo,842587200000,2016,1,谢赫,谢赫,Cheick,2.06,13,迪亚洛,Diallo,00,1627767,前锋,College,99.8 公斤,NOP,新奥尔良,New Orleans,pelicans,Western,鹈鹕,西部,西南分区,1610612740,False,True,00,鹈鹕,Pelicans
gorgui_dieng,塞内加尔,Louisville/Senegal,戈尔吉 吉恩,Gorgui Dieng,632638800000,2013,4,戈尔吉,戈尔吉,Gorgui,2.11,5,吉恩,Dieng,00,203476,中锋,College,113.9 公斤,MIN,明尼苏达,Minnesota,timberwolves,Western,森林狼,西部,西北分区,1610612750,False,True,00,森林狼,Timberwolves
spencer_dinwiddie,美国,Colorado/United States,斯宾塞 丁维迪,Spencer Dinwiddie,734068800000,2014,3,斯宾塞,斯宾塞,Spencer,1.98,8,丁维迪,Dinwiddie,00,203915,后卫,College,90.7 公斤,BKN,布鲁克林,Brooklyn,nets,Eastern,篮网,东部,大西洋分区,1610612751,False,True,00,篮网,Nets
tyler_dorsey,美国,Oregon/United States,泰勒 多西,Tyler Dorsey,824619600000,2017,0,泰勒,泰勒,Tyler,1.96,2,多西,Dorsey,00,1628416,后卫,College,83.0 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
damyean_dotson,美国,Houston/United States,达米安 多特森,Damyean Dotson,768196800000,2017,0,达米安,达米安,Damyean,1.96,21,多特森,Dotson,00,1628422,后卫,College,95.3 公斤,NYK,纽约,New York,knicks,Eastern,尼克斯,东部,大西洋分区,1610612752,False,True,00,尼克斯,Knicks
milton_doyle,美国,Loyola (Chicago)/United States,弥尔顿 道尔,Milton Doyle,752040000000,2017,0,弥尔顿,弥尔顿,Milton,1.93,14,道尔,Doyle,00,1628495,后卫,College,81.6 公斤,BKN,布鲁克林,Brooklyn,nets,Eastern,篮网,东部,大西洋分区,1610612751,False,True,00,篮网,Nets
pj_dozier,美国,South Carolina/United States,PJ 多齐尔,PJ Dozier,846216000000,2017,0,PJ,PJ,PJ,1.98,35,多齐尔,Dozier,00,1628408,后卫,College,93.0 公斤,OKC,俄克拉荷马城,Oklahoma City,thunder,Western,雷霆,西部,西北分区,1610612760,False,True,00,雷霆,Thunder
goran_dragic,斯洛文尼亚,"Ljubljana, Slovenia/Slovenia",戈兰 德拉季奇,Goran Dragic,515736000000,2008,9,戈兰,戈兰,Goran,1.90,7,德拉季奇,Dragic,00,201609,后卫,Country,86.2 公斤,MIA,迈阿密,Miami,heat,Eastern,热火,东部,东南分区,1610612748,False,True,00,热火,Heat
larry_drew ii,美国,UCLA/United States,拉里 德鲁二世,Larry Drew II,636613200000,2013,1,拉里,拉里,Larry,1.88,1,德鲁二世,Drew II,00,203580,后卫,College,81.6 公斤,NOP,新奥尔良,New Orleans,pelicans,Western,鹈鹕,西部,西南分区,1610612740,False,True,00,鹈鹕,Pelicans
andre_drummond,美国,Connecticut/United States,安德烈 德拉蒙德,Andre Drummond,744955200000,2012,5,安德烈,安德烈,Andre,2.11,0,德拉蒙德,Drummond,00,203083,中锋,College,126.6 公斤,DET,底特律,Detroit,pistons,Eastern,活塞,东部,中央分区,1610612765,False,True,00,活塞,Pistons
jared_dudley,美国,Boston College/United States,贾里德 杜德利,Jared Dudley,489816000000,2007,10,贾里德,贾里德,Jared,2.01,3,杜德利,Dudley,00,201162,前锋,College,108.9 公斤,PHX,菲尼克斯,Phoenix,suns,Western,太阳,西部,太平洋分区,1610612756,False,True,00,太阳,Suns
kris_dunn,美国,Providence/United States,克里斯 邓恩,Kris Dunn,763966800000,2016,1,克里斯,克里斯,Kris,1.93,32,邓恩,Dunn,00,1627739,后卫,College,95.3 公斤,CHI,芝加哥,Chicago,bulls,Eastern,公牛,东部,中央分区,1610612741,False,True,00,公牛,Bulls
kevin_durant,美国,Texas/United States,凯文 杜兰特,Kevin Durant,591508800000,2007,10,凯文,凯文,Kevin,2.06,35,杜兰特,Durant,00,201142,前锋,College,108.9 公斤,GSW,金州,Golden State,warriors,Western,勇士,西部,太平洋分区,1610612744,False,True,00,勇士,Warriors
jarell_eddie,美国,Virginia Tech/United States,贾雷尔 埃迪,Jarell Eddie,688798800000,2014,2,贾雷尔,贾雷尔,Jarell,2.01,31,埃迪,Eddie,00,204067,后卫-前锋,College,98.9 公斤,CHI,芝加哥,Chicago,bulls,Eastern,公牛,东部,中央分区,1610612741,False,True,00,公牛,Bulls
henry_ellenson,美国,Marquette/United States,亨利 埃伦森,Henry Ellenson,853131600000,2016,1,亨利,亨利,Henry,2.11,8,埃伦森,Ellenson,00,1627740,前锋,College,111.1 公斤,DET,底特律,Detroit,pistons,Eastern,活塞,东部,中央分区,1610612765,False,True,00,活塞,Pistons
wayne_ellington,美国,North Carolina/United States,维恩 艾灵顿,Wayne Ellington,565160400000,2009,8,维恩,维恩,Wayne,1.96,2,艾灵顿,Ellington,00,201961,后卫,College,90.7 公斤,MIA,迈阿密,Miami,heat,Eastern,热火,东部,东南分区,1610612748,False,True,00,热火,Heat
joel_embiid,喀麦隆,Kansas/Cameroon,乔尔 恩比德,Joel Embiid,763794000000,2014,1,乔尔,乔尔,Joel,2.13,21,恩比德,Embiid,00,203954,中锋,College,113.4 公斤,PHI,费城,Philadelphia,sixers,Eastern,76人,东部,大西洋分区,1610612755,False,True,00,76人,Sixers
tyler_ennis,加拿大,Syracuse/Canada,泰勒 恩尼斯,Tyler Ennis,777700800000,2014,3,泰勒,泰勒,Tyler,1.90,10,恩尼斯,Ennis,00,203898,后卫,College,88.0 公斤,LAL,洛杉矶,Los Angeles,lakers,Western,湖人,西部,太平洋分区,1610612747,False,True,00,湖人,Lakers
james_ennis iii,美国,Long Beach State/United States,詹姆斯 恩尼斯三世,James Ennis III,646804800000,2013,3,詹姆斯,詹姆斯,James,2.01,33,恩尼斯三世,Ennis III,00,203516,前锋,College,95.3 公斤,DET,底特律,Detroit,pistons,Eastern,活塞,东部,中央分区,1610612765,False,True,00,活塞,Pistons
jawun_evans,美国,Oklahoma State/United States,贾旺 埃文斯,Jawun Evans,838353600000,2017,0,贾旺,贾旺,Jawun,1.83,1,埃文斯,Evans,00,1628393,后卫,College,86.2 公斤,LAC,洛杉矶,LA,clippers,Western,快船,西部,太平洋分区,1610612746,False,True,00,快船,Clippers
jeremy_evans,美国,Western Kentucky/United States,杰里米 埃文斯,Jeremy Evans,562046400000,2010,6,杰里米,杰里米,Jeremy,2.06,6,埃文斯,Evans,00,202379,前锋,College,90.7 公斤,ATL,亚特兰大,Atlanta,hawks,Eastern,老鹰,东部,东南分区,1610612737,False,True,00,老鹰,Hawks
tyreke_evans,美国,Memphis/United States,泰瑞克 埃文斯,Tyreke Evans,622180800000,2009,8,泰瑞克,泰瑞克,Tyreke,1.98,12,埃文斯,Evans,00,201936,后卫-前锋,College,99.8 公斤,MEM,孟菲斯,Memphis,grizzlies,Western,灰熊,西部,西南分区,1610612763,False,True,00,灰熊,Grizzlies
dante_exum,澳洲,Australia,丹特 艾克萨姆,Dante Exum,805608000000,2014,2,丹特,丹特,Dante,1.98,11,艾克萨姆,Exum,00,203957,后卫,None,86.2 公斤,UTA,犹他,Utah,jazz,Western,爵士,西部,西北分区,1610612762,False,True,00,爵士,Jazz
kenneth_faried,美国,Morehead State/United States,肯尼斯 法里德,Kenneth Faried,627454800000,2011,6,肯尼斯,肯尼斯,Kenneth,2.03,35,法里德,Faried,00,202702,前锋,College,103.4 公斤,DEN,丹佛,Denver,nuggets,Western,掘金,西部,西北分区,1610612743,False,True,00,掘金,Nuggets
derrick_favors,美国,Georgia Tech/United States,德里克 费沃斯,Derrick Favors,679550400000,2010,7,德里克,德里克,Derrick,2.08,15,费沃斯,Favors,00,202324,前锋-中锋,College,120.2 公斤,UTA,犹他,Utah,jazz,Western,爵士,西部,西北分区,1610612762,False,True,00,爵士,Jazz
kay_felder,美国,Oakland/United States,凯 菲尔德,Kay Felder,796453200000,2016,1,凯,凯,Kay,1.75,22,菲尔德,Felder,00,1627770,后卫,High School,79.8 公斤,DET,底特律,Detroit,pistons,Eastern,活塞,东部,中央分区,1610612765,False,True,00,活塞,Pistons
cristiano_felicio,巴西,Brazil,克里斯蒂亚诺 费利西奥 ,Cristiano Felicio,710481600000,2014,2,克里斯蒂亚诺,克里斯蒂亚诺,Cristiano,2.06,6,费利西奥 ,Felicio,00,1626245,中锋-前锋,,127.0 公斤,CHI,芝加哥,Chicago,bulls,Eastern,公牛,东部,中央分区,1610612741,False,True,00,公牛,Bulls
raymond_felton,美国,North Carolina/United States,雷蒙德 菲尔顿,Raymond Felton,457070400000,2005,12,雷蒙德,雷蒙德,Raymond,1.85,2,菲尔顿,Felton,00,101109,后卫,College,93.0 公斤,OKC,俄克拉荷马城,Oklahoma City,thunder,Western,雷霆,西部,西北分区,1610612760,False,True,00,雷霆,Thunder
terrance_ferguson,美国,United States,特伦斯 弗格森,Terrance Ferguson,895377600000,2017,0,特伦斯,特伦斯,Terrance,2.01,23,弗格森,Ferguson,00,1628390,后卫,,83.5 公斤,OKC,俄克拉荷马城,Oklahoma City,thunder,Western,雷霆,西部,西北分区,1610612760,False,True,00,雷霆,Thunder
yogi_ferrell,美国,Indiana/United States,尤吉 费雷尔,Yogi Ferrell,736920000000,2016,1,尤吉,尤吉,Yogi,1.83,11,费雷尔,Ferrell,00,1627812,后卫,College,81.6 公斤,DAL,达拉斯,Dallas,mavericks,Western,独行侠,西部,西南分区,1610612742,False,True,00,独行侠,Mavericks
dorian_finney-smith,美国,Florida/United States,多里安 芬尼-史密斯,Dorian Finney-Smith,736488000000,2016,1,多里安,多里安,Dorian,2.03,10,芬尼-史密斯,Finney-Smith,00,1627827,前锋,College,99.8 公斤,DAL,达拉斯,Dallas,mavericks,Western,独行侠,西部,西南分区,1610612742,False,True,00,独行侠,Mavericks
bryn_forbes,美国,Michigan State/United States,布林 福布斯,Bryn Forbes,743400000000,2016,1,布林,布林,Bryn,1.90,11,福布斯,Forbes,00,1627854,后卫,College,86.2 公斤,SAS,圣安东尼奥,San Antonio,spurs,Western,马刺,西部,西南分区,1610612759,False,True,00,马刺,Spurs
evan_fournier,法国,France/France,埃文 富尼耶,Evan Fournier,720334800000,2012,5,埃文,埃文,Evan,2.01,10,富尼耶,Fournier,00,203095,后卫-前锋,Country,93.0 公斤,ORL,奥兰多,Orlando,magic,Eastern,魔术,东部,东南分区,1610612753,False,True,00,魔术,Magic
de'aaron_fox,美国,Kentucky/United States,达龙 福克斯,De'Aaron Fox,882594000000,2017,0,达龙,达龙,De'Aaron,1.90,5,福克斯,Fox,00,1628368,后卫,College,79.4 公斤,SAC,萨克拉门托,Sacramento,kings,Western,国王,西部,太平洋分区,1610612758,False,True,00,国王,Kings
tim_frazier,美国,United States,蒂姆 弗雷泽,Tim Frazier,657435600000,2014,3,蒂姆,蒂姆,Tim,1.85,8,弗雷泽,Frazier,00,204025,后卫,None,77.1 公斤,WAS,华盛顿,Washington,wizards,Eastern,奇才,东部,东南分区,1610612764,False,True,00,奇才,Wizards
channing_frye,美国,Arizona/United States,钱宁 弗莱,Channing Frye,421992000000,2005,11,钱宁,钱宁,Channing,2.11,12,弗莱,Frye,00,101112,前锋,College,115.7 公斤,LAL,洛杉矶,Los Angeles,lakers,Western,湖人,西部,太平洋分区,1610612747,False,True,00,湖人,Lakers
markelle_fultz,美国,Washington/United States,马克尔 富尔茨,Markelle Fultz,896414400000,2017,0,马克尔,马克尔,Markelle,1.93,20,富尔茨,Fultz,00,1628365,后卫,College,90.7 公斤,PHI,费城,Philadelphia,sixers,Eastern,76人,东部,大西洋分区,1610612755,False,True,00,76人,Sixers
danilo_gallinari,意大利,"Sant'Angelo Lodigiano, Italy/Italy",达尼罗 加里纳利,Danilo Gallinari,587016000000,2008,8,达尼罗,达尼罗,Danilo,2.08,8,加里纳利,Gallinari,00,201568,前锋,Country,102.1 公斤,LAC,洛杉矶,LA,clippers,Western,快船,西部,太平洋分区,1610612746,False,True,00,快船,Clippers
langston_galloway,美国,Saint Joseph's/United States,兰斯顿 加洛韦,Langston Galloway,692254800000,2014,3,兰斯顿,兰斯顿,Langston,1.88,9,加洛韦,Galloway,00,204038,后卫,College,90.7 公斤,DET,底特律,Detroit,pistons,Eastern,活塞,东部,中央分区,1610612765,False,True,00,活塞,Pistons
marc_gasol,西班牙,"Barcelona, Spain/Spain",马克 加索尔,Marc Gasol,475822800000,2007,9,马克,马克,Marc,2.16,33,加索尔,Gasol,00,201188,中锋,Country,115.7 公斤,MEM,孟菲斯,Memphis,grizzlies,Western,灰熊,西部,西南分区,1610612763,False,True,00,灰熊,Grizzlies
